Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
62.0,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg
63.0,Asus,Notebook,14,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg
64.0,HP,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.86kg
65.0,Asus,Ultrabook,15.6,Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg
66.0,HP,Notebook,15.6,1366x768,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg
67.0,HP,Notebook,14,1366x768,4GB,32GB SSD,Intel HD Graphics 400,Windows 10,1.44kg
68.0,Lenovo,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg
69.0,Asus,Gaming,17.3,Full HD 1920x1080,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg
70.0,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,4GB,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg
71.0,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,64GB,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
72.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
73.0,MSI,Gaming,17.3,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg
74.0,Acer,Notebook,14,1366x768,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg
75.0,Asus,Gaming,15.6,Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg
76.0,Lenovo,Notebook,15.6,Full HD 1920x1080,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg
77.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg
78.0,Acer,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg
79.0,HP,Notebook,17.3,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg
80.0,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg
81.0,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg
82.0,HP,Notebook,14,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg
83.0,Lenovo,Notebook,15.6,Full HD 1920x1080,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg
84.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg
85.0,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg
86.0,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg
87.0,HP,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.96kg
88.0,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2kg
89.0,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
90.0,Asus,Gaming,15.6,Full HD 1920x1080,8GB,1TB HDD,AMD Radeon RX 560,Windows 10,2.45kg
91.0,Acer,Notebook,15.6,Full HD 1920x1080,2GB,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2kg
92.0,HP,Notebook,13.3,Full HD 1920x1080,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg
93.0,Dell,Gaming,15.6,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
94.0,Asus,Ultrabook,14,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.25kg
95.0,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5kg
96.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,1TB HDD,AMD Radeon R5 M430,Linux,2.2kg
97.0,Dell,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg
98.0,Asus,Notebook,15.6,Full HD 1920x1080,6GB,256GB SSD,Nvidia GeForce 920M,Windows 10,2kg
99.0,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg
100.0,HP,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 530,Windows 10,1.91kg
101.0,HP,Notebook,15.6,Full HD 1920x1080,4GB,500GB HDD,AMD Radeon R2,Windows 10,2.1kg
102.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,1TB HDD,AMD Radeon 520,Linux,2.2kg
103.0,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38kg
104.0,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,8GB,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg
105.0,HP,Notebook,14,IPS Panel Full HD 1920x1080,6GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58kg
106.0,Lenovo,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg
107.0,Asus,Ultrabook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3kg
108.0,MSI,Gaming,15.6,Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2kg
109.0,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.58kg
110.0,Asus,Ultrabook,15.6,Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5kg
111.0,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23kg
112.0,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.37kg
113.0,HP,Notebook,14,IPS Panel 1366x768,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63kg
114.0,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
116.0,HP,Notebook,14,Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63kg
117.0,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16kg
118.0,Asus,Notebook,17.3,Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2kg
119.0,Asus,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg
120.0,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.1kg
121.0,MSI,Gaming,15.6,Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8kg
122.0,Lenovo,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 940MX,No OS,2.2kg
123.0,HP,Notebook,17.3,Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5kg
124.0,Acer,Notebook,15.6,1366x768,4GB,256GB SSD,AMD Radeon R5,Windows 10,2.1kg
126.0,HP,Notebook,14,Full HD 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63kg
127.0,Asus,Notebook,14,1366x768,4GB,64GB SSD,AMD Radeon R2,Windows 10 S,1.65kg
128.0,Dell,Notebook,17.3,Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg
129.0,HP,Notebook,17.3,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5kg
130.0,Dell,Notebook,15.6,1366x768,8GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
131.0,Dell,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg
132.0,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg
133.0,Acer,Notebook,15.6,Full HD 1920x1080,4GB,256GB SSD,Nvidia GeForce MX130,Windows 10,7.2kg
134.0,HP,Notebook,15.6,1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.05kg
135.0,HP,Notebook,14,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.63kg
136.0,Lenovo,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 500,No OS,1.9kg
137.0,Asus,Gaming,17.3,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg
138.0,Lenovo,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920MX,No OS,2.2kg
139.0,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg
140.0,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,3kg
141.0,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,8GB,256GB SSD,AMD Radeon RX 550,Windows 10,1.75kg
142.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050M,No OS,2.4kg
143.0,Toshiba,Notebook,15.6,1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.1kg
144.0,HP,Notebook,15.6,1366x768,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg
145.0,Asus,Ultrabook,14,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25kg
146.0,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,512GB SSD,Intel HD Graphics 515,Windows 10,0.97kg
147.0,Asus,Notebook,15.6,Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 500,Windows 10,2kg
149.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg
150.0,Dell,Gaming,15.6,Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
151.0,Dell,Gaming,15.6,Full HD 1920x1080,8GB,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62kg
152.0,Lenovo,Notebook,15.6,1366x768,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
153.0,MSI,Gaming,17.3,Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8kg
154.0,HP,Ultrabook,14,Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg
155.0,HP,Notebook,15.6,Full HD 1920x1080,6GB,256GB SSD,AMD Radeon 520,Windows 10,1.91kg
156.0,Lenovo,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.74kg
157.0,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.1kg
158.0,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.56kg
159.0,Toshiba,Notebook,15.6,1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.1kg
160.0,Asus,Notebook,15.6,1366x768,4GB,1TB HDD,AMD Radeon R5 M420,Windows 10,2.03kg
161.0,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,256GB SSD,Nvidia GeForce MX150,Windows 10,3kg
162.0,Dell,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg
163.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg
164.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 500,Windows 10,2.1kg
165.0,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4kg
166.0,Acer,Notebook,15.6,1366x768,4GB,1TB HDD,Intel HD Graphics 505,Windows 10,2.1kg
167.0,Dell,Gaming,15.6,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
168.0,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,3kg
169.0,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49kg
170.0,Huawei,Ultrabook,13,IPS Panel Full HD 2160x1440,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.05kg
171.0,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,6GB,2TB HDD,AMD Radeon 520,Windows 10,2.71kg
172.0,Lenovo,Notebook,15.6,1366x768,4GB,500GB HDD,AMD Radeon R4 Graphics,No OS,2.2kg
173.0,Toshiba,Notebook,15.6,1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,5.4kg
174.0,HP,Notebook,17.3,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.5kg
175.0,Dell,Notebook,15.6,1366x768,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
176.0,Acer,Notebook,15.6,1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.1kg
177.0,MSI,Gaming,18.4,Full HD 1920x1080,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4kg
178.0,Lenovo,Notebook,15.6,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.90kg
179.0,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.29kg
180.0,Dell,Notebook,15.6,Full HD 1920x1080,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Linux,2.02kg
181.0,Dell,Ultrabook,13.3,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23kg
182.0,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg
183.0,Toshiba,Notebook,15.6,1366x768,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,2.0kg
184.0,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,No OS,1.95kg
185.0,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Nvidia GeForce 150MX,Windows 10,2.77kg
186.0,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg
187.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,No OS,2.4kg
188.0,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 615,Windows 10,1.12kg
189.0,Dell,Notebook,17.3,Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
191.0,Vero,Notebook,14,IPS Panel Full HD 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.3kg
192.0,Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce MX150,No OS,1.3kg
193.0,Lenovo,Notebook,17.3,1600x900,8GB,256GB SSD,Nvidia GeForce MX150,No OS,2.8kg
194.0,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg
195.0,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg
196.0,Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,32GB,1TB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49kg
197.0,HP,Notebook,13.3,Full HD 1920x1080,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg
198.0,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35kg
199.0,HP,Notebook,17.3,Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5kg
200.0,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg
201.0,Lenovo,Notebook,15.6,1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.1kg
202.0,Acer,Notebook,15.6,Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.23kg
203.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg
204.0,Dell,Workstation,15.6,4K Ultra HD 3840x2160,16GB,256GB SSD +  1TB HDD,Nvidia Quadro M1200,Windows 10,2.8kg
205.0,Lenovo,Gaming,15.6,Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1060,No OS,2.4kg
206.0,Dell,Notebook,15.6,Touchscreen 1366x768,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
207.0,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg
208.0,Dell,Ultrabook,13.3,Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,?
210.0,Acer,Notebook,15.6,Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4kg
211.0,Asus,Gaming,17.3,Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9kg
212.0,HP,Notebook,15.6,Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,No OS,2.1kg
213.0,Lenovo,Notebook,15.6,Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,2.2kg
